[2026-06-05T00:31:04.893Z] RESAVENUE_API_TRACE | action=getPropertyDetails | endpoint=https://cm.resavenue.com/channelcontroller/PropertyDetails | context={} | payload={"OTA_HotelDetailsRQ":{"POS":{"Username":"crm.dvi@dvi.co.in","Password":"***REDACTED***","ID_Context":"REV"},"TimeStamp":"20261015T15:22:50","EchoToken":"details-1780619464893","HotelCode":"20"}}
[2026-06-05T00:31:05.031Z] RESAVENUE_API_TRACE | action=getPropertyDetails | endpoint=https://cm.resavenue.com/channelcontroller/PropertyDetails | context={} | response={"OTA_HotelDetailsRS":[{"HotelDetail":{"hotel_id":20,"hotel_name":""},"RoomTypes":[{"room_id":66,"room_name":"Vinayaga Premium","base_occupancy":2,"max_occupancy":3,"room_status":"active","RatePlans":[{"rate_id":137,"rate_name":"Double Deluxe Room - OTA EP Plan","valid_from":"2017-01-07","valid_to":"2027-05-01","rate_status":"active","min_rate":1500,"max_rate":7500},{"rate_id":16101,"rate_name":"Double Deluxe Room - OTA CP Plan","valid_from":"2023-04-18","valid_to":"2027-05-01","rate_status":"active","min_rate":3000,"max_rate":9999}]},{"room_id":7685,"room_name":"Vinayaga Family Room","base_occupancy":3,"max_occupancy":3,"room_status":"active","RatePlans":[{"rate_id":16112,"rate_name":"Triple Deluxe Room - OTA EP Plan","valid_from":"2023-04-19","valid_to":"2027-05-01","rate_status":"active","min_rate":4000,"max_rate":15000},{"rate_id":16113,"rate_name":"Triple Deluxe Room - OTA CP Plan","valid_from":"2023-04-19","valid_to":"2027-05-01","rate_status":"active","min_rate":4000,"max_rate":18000}]},{"room_id":65,"room_name":"Vinayaga Superior","base_occupancy":2,"max_occupancy":3,"room_status":"active","RatePlans":[{"rate_id":138,"rate_name":"Standard Double Room - OTA EP Plan","valid_from":"2017-01-07","valid_to":"2027-05-01","rate_status":"active","min_rate":1500,"max_rate":7500},{"rate_id":16100,"rate_name":"Standard Double Room - OTA CP Plan","valid_from":"2023-04-18","valid_to":"2027-05-01","rate_status":"active","min_rate":2500,"max_rate":7500}]}]}]}
[2026-06-05T00:31:05.033Z] RESAVENUE_API_TRACE | action=getInventory | endpoint=https://cm.resavenue.com/channelcontroller/PropertyDetails | context={"cityCode":"133179","checkInDate":"2026-07-20","checkOutDate":"2026-07-22","guestCount":2,"roomCount":1,"hotelCode":"20","hotelName":"Vinayaga by Poppys Rameswaram"} | payload={"OTA_HotelInventoryRQ":{"POS":{"Username":"crm.dvi@dvi.co.in","Password":"***REDACTED***","ID_Context":"REV"},"TimeStamp":"20261015T15:22:50","EchoToken":"inv-1780619465032","HotelCode":"20","Start":"2026-07-20","End":"2026-07-22","InvCodes":[66,7685,65]}}
[2026-06-05T00:31:05.035Z] RESAVENUE_API_TRACE | action=getRates | endpoint=https://cm.resavenue.com/channelcontroller/PropertyDetails | context={"cityCode":"133179","checkInDate":"2026-07-20","checkOutDate":"2026-07-22","guestCount":2,"roomCount":1,"hotelCode":"20","hotelName":"Vinayaga by Poppys Rameswaram"} | payload={"OTA_HotelRateRQ":{"POS":{"Username":"crm.dvi@dvi.co.in","Password":"***REDACTED***","ID_Context":"REV"},"HotelCode":"20","Start":"2026-07-20","End":"2026-07-22","RateCodes":[137,16101,16112,16113,138,16100]}}
[2026-06-05T00:31:05.147Z] RESAVENUE_API_TRACE | action=getInventory | endpoint=https://cm.resavenue.com/channelcontroller/PropertyDetails | context={"cityCode":"133179","checkInDate":"2026-07-20","checkOutDate":"2026-07-22","guestCount":2,"roomCount":1,"hotelCode":"20","hotelName":"Vinayaga by Poppys Rameswaram"} | response={"inventoryCount":3,"invCodesReturned":[66,7685,65]}
[2026-06-05T00:31:05.213Z] RESAVENUE_API_TRACE | action=getRates | endpoint=https://cm.resavenue.com/channelcontroller/PropertyDetails | context={"cityCode":"133179","checkInDate":"2026-07-20","checkOutDate":"2026-07-22","guestCount":2,"roomCount":1,"hotelCode":"20","hotelName":"Vinayaga by Poppys Rameswaram"} | response={"ratePlanCount":6,"rateCodesReturned":[137,16113,138,16101,16112,16100]}
[2026-06-05T00:31:10.460Z] RESAVENUE_API_TRACE | action=getPropertyDetails | endpoint=https://cm.resavenue.com/channelcontroller/PropertyDetails | context={} | payload={"OTA_HotelDetailsRQ":{"POS":{"Username":"crm.dvi@dvi.co.in","Password":"***REDACTED***","ID_Context":"REV"},"TimeStamp":"20261015T15:22:50","EchoToken":"details-1780619470460","HotelCode":"20"}}
[2026-06-05T00:31:10.597Z] RESAVENUE_API_TRACE | action=getPropertyDetails | endpoint=https://cm.resavenue.com/channelcontroller/PropertyDetails | context={} | response={"OTA_HotelDetailsRS":[{"HotelDetail":{"hotel_id":20,"hotel_name":""},"RoomTypes":[{"room_id":66,"room_name":"Vinayaga Premium","base_occupancy":2,"max_occupancy":3,"room_status":"active","RatePlans":[{"rate_id":137,"rate_name":"Double Deluxe Room - OTA EP Plan","valid_from":"2017-01-07","valid_to":"2027-05-01","rate_status":"active","min_rate":1500,"max_rate":7500},{"rate_id":16101,"rate_name":"Double Deluxe Room - OTA CP Plan","valid_from":"2023-04-18","valid_to":"2027-05-01","rate_status":"active","min_rate":3000,"max_rate":9999}]},{"room_id":7685,"room_name":"Vinayaga Family Room","base_occupancy":3,"max_occupancy":3,"room_status":"active","RatePlans":[{"rate_id":16112,"rate_name":"Triple Deluxe Room - OTA EP Plan","valid_from":"2023-04-19","valid_to":"2027-05-01","rate_status":"active","min_rate":4000,"max_rate":15000},{"rate_id":16113,"rate_name":"Triple Deluxe Room - OTA CP Plan","valid_from":"2023-04-19","valid_to":"2027-05-01","rate_status":"active","min_rate":4000,"max_rate":18000}]},{"room_id":65,"room_name":"Vinayaga Superior","base_occupancy":2,"max_occupancy":3,"room_status":"active","RatePlans":[{"rate_id":138,"rate_name":"Standard Double Room - OTA EP Plan","valid_from":"2017-01-07","valid_to":"2027-05-01","rate_status":"active","min_rate":1500,"max_rate":7500},{"rate_id":16100,"rate_name":"Standard Double Room - OTA CP Plan","valid_from":"2023-04-18","valid_to":"2027-05-01","rate_status":"active","min_rate":2500,"max_rate":7500}]}]}]}
[2026-06-05T00:31:10.598Z] RESAVENUE_API_TRACE | action=getInventory | endpoint=https://cm.resavenue.com/channelcontroller/PropertyDetails | context={"cityCode":"Rameswaram","checkInDate":"2026-07-20","checkOutDate":"2026-07-21","guestCount":2,"roomCount":1,"hotelCode":"20","hotelName":"Vinayaga by Poppys Rameswaram"} | payload={"OTA_HotelInventoryRQ":{"POS":{"Username":"crm.dvi@dvi.co.in","Password":"***REDACTED***","ID_Context":"REV"},"TimeStamp":"20261015T15:22:50","EchoToken":"inv-1780619470598","HotelCode":"20","Start":"2026-07-20","End":"2026-07-21","InvCodes":[66,7685,65]}}
[2026-06-05T00:31:10.599Z] RESAVENUE_API_TRACE | action=getRates | endpoint=https://cm.resavenue.com/channelcontroller/PropertyDetails | context={"cityCode":"Rameswaram","checkInDate":"2026-07-20","checkOutDate":"2026-07-21","guestCount":2,"roomCount":1,"hotelCode":"20","hotelName":"Vinayaga by Poppys Rameswaram"} | payload={"OTA_HotelRateRQ":{"POS":{"Username":"crm.dvi@dvi.co.in","Password":"***REDACTED***","ID_Context":"REV"},"HotelCode":"20","Start":"2026-07-20","End":"2026-07-21","RateCodes":[137,16101,16112,16113,138,16100]}}
[2026-06-05T00:31:10.682Z] RESAVENUE_API_TRACE | action=getInventory | endpoint=https://cm.resavenue.com/channelcontroller/PropertyDetails | context={"cityCode":"Rameswaram","checkInDate":"2026-07-20","checkOutDate":"2026-07-21","guestCount":2,"roomCount":1,"hotelCode":"20","hotelName":"Vinayaga by Poppys Rameswaram"} | response={"inventoryCount":3,"invCodesReturned":[66,7685,65]}
[2026-06-05T00:31:10.748Z] RESAVENUE_API_TRACE | action=getRates | endpoint=https://cm.resavenue.com/channelcontroller/PropertyDetails | context={"cityCode":"Rameswaram","checkInDate":"2026-07-20","checkOutDate":"2026-07-21","guestCount":2,"roomCount":1,"hotelCode":"20","hotelName":"Vinayaga by Poppys Rameswaram"} | response={"ratePlanCount":6,"rateCodesReturned":[137,16113,138,16101,16112,16100]}
[2026-06-05T00:31:10.757Z] RESAVENUE_API_TRACE | action=getPropertyDetails | endpoint=https://cm.resavenue.com/channelcontroller/PropertyDetails | context={} | payload={"OTA_HotelDetailsRQ":{"POS":{"Username":"crm.dvi@dvi.co.in","Password":"***REDACTED***","ID_Context":"REV"},"TimeStamp":"20261015T15:22:50","EchoToken":"details-1780619470757","HotelCode":"20"}}
[2026-06-05T00:31:10.804Z] RESAVENUE_API_TRACE | action=getPropertyDetails | endpoint=https://cm.resavenue.com/channelcontroller/PropertyDetails | context={} | response={"OTA_HotelDetailsRS":[{"HotelDetail":{"hotel_id":20,"hotel_name":""},"RoomTypes":[{"room_id":66,"room_name":"Vinayaga Premium","base_occupancy":2,"max_occupancy":3,"room_status":"active","RatePlans":[{"rate_id":137,"rate_name":"Double Deluxe Room - OTA EP Plan","valid_from":"2017-01-07","valid_to":"2027-05-01","rate_status":"active","min_rate":1500,"max_rate":7500},{"rate_id":16101,"rate_name":"Double Deluxe Room - OTA CP Plan","valid_from":"2023-04-18","valid_to":"2027-05-01","rate_status":"active","min_rate":3000,"max_rate":9999}]},{"room_id":7685,"room_name":"Vinayaga Family Room","base_occupancy":3,"max_occupancy":3,"room_status":"active","RatePlans":[{"rate_id":16112,"rate_name":"Triple Deluxe Room - OTA EP Plan","valid_from":"2023-04-19","valid_to":"2027-05-01","rate_status":"active","min_rate":4000,"max_rate":15000},{"rate_id":16113,"rate_name":"Triple Deluxe Room - OTA CP Plan","valid_from":"2023-04-19","valid_to":"2027-05-01","rate_status":"active","min_rate":4000,"max_rate":18000}]},{"room_id":65,"room_name":"Vinayaga Superior","base_occupancy":2,"max_occupancy":3,"room_status":"active","RatePlans":[{"rate_id":138,"rate_name":"Standard Double Room - OTA EP Plan","valid_from":"2017-01-07","valid_to":"2027-05-01","rate_status":"active","min_rate":1500,"max_rate":7500},{"rate_id":16100,"rate_name":"Standard Double Room - OTA CP Plan","valid_from":"2023-04-18","valid_to":"2027-05-01","rate_status":"active","min_rate":2500,"max_rate":7500}]}]}]}
[2026-06-05T00:31:10.805Z] RESAVENUE_API_TRACE | action=getInventory | endpoint=https://cm.resavenue.com/channelcontroller/PropertyDetails | context={"cityCode":"Rameswaram","checkInDate":"2026-07-21","checkOutDate":"2026-07-22","guestCount":2,"roomCount":1,"hotelCode":"20","hotelName":"Vinayaga by Poppys Rameswaram"} | payload={"OTA_HotelInventoryRQ":{"POS":{"Username":"crm.dvi@dvi.co.in","Password":"***REDACTED***","ID_Context":"REV"},"TimeStamp":"20261015T15:22:50","EchoToken":"inv-1780619470805","HotelCode":"20","Start":"2026-07-21","End":"2026-07-22","InvCodes":[66,7685,65]}}
[2026-06-05T00:31:10.806Z] RESAVENUE_API_TRACE | action=getRates | endpoint=https://cm.resavenue.com/channelcontroller/PropertyDetails | context={"cityCode":"Rameswaram","checkInDate":"2026-07-21","checkOutDate":"2026-07-22","guestCount":2,"roomCount":1,"hotelCode":"20","hotelName":"Vinayaga by Poppys Rameswaram"} | payload={"OTA_HotelRateRQ":{"POS":{"Username":"crm.dvi@dvi.co.in","Password":"***REDACTED***","ID_Context":"REV"},"HotelCode":"20","Start":"2026-07-21","End":"2026-07-22","RateCodes":[137,16101,16112,16113,138,16100]}}
[2026-06-05T00:31:10.882Z] RESAVENUE_API_TRACE | action=getRates | endpoint=https://cm.resavenue.com/channelcontroller/PropertyDetails | context={"cityCode":"Rameswaram","checkInDate":"2026-07-21","checkOutDate":"2026-07-22","guestCount":2,"roomCount":1,"hotelCode":"20","hotelName":"Vinayaga by Poppys Rameswaram"} | response={"ratePlanCount":6,"rateCodesReturned":[137,16113,138,16101,16112,16100]}
[2026-06-05T00:31:10.891Z] RESAVENUE_API_TRACE | action=getInventory | endpoint=https://cm.resavenue.com/channelcontroller/PropertyDetails | context={"cityCode":"Rameswaram","checkInDate":"2026-07-21","checkOutDate":"2026-07-22","guestCount":2,"roomCount":1,"hotelCode":"20","hotelName":"Vinayaga by Poppys Rameswaram"} | response={"inventoryCount":3,"invCodesReturned":[66,7685,65]}
[2026-06-05T00:31:12.732Z] RESAVENUE_API_TRACE | action=getPropertyDetails | endpoint=https://cm.resavenue.com/channelcontroller/PropertyDetails | context={} | payload={"OTA_HotelDetailsRQ":{"POS":{"Username":"crm.dvi@dvi.co.in","Password":"***REDACTED***","ID_Context":"REV"},"TimeStamp":"20261015T15:22:50","EchoToken":"details-1780619472732","HotelCode":"20"}}
[2026-06-05T00:31:12.794Z] RESAVENUE_API_TRACE | action=getPropertyDetails | endpoint=https://cm.resavenue.com/channelcontroller/PropertyDetails | context={} | response={"OTA_HotelDetailsRS":[{"HotelDetail":{"hotel_id":20,"hotel_name":""},"RoomTypes":[{"room_id":66,"room_name":"Vinayaga Premium","base_occupancy":2,"max_occupancy":3,"room_status":"active","RatePlans":[{"rate_id":137,"rate_name":"Double Deluxe Room - OTA EP Plan","valid_from":"2017-01-07","valid_to":"2027-05-01","rate_status":"active","min_rate":1500,"max_rate":7500},{"rate_id":16101,"rate_name":"Double Deluxe Room - OTA CP Plan","valid_from":"2023-04-18","valid_to":"2027-05-01","rate_status":"active","min_rate":3000,"max_rate":9999}]},{"room_id":7685,"room_name":"Vinayaga Family Room","base_occupancy":3,"max_occupancy":3,"room_status":"active","RatePlans":[{"rate_id":16112,"rate_name":"Triple Deluxe Room - OTA EP Plan","valid_from":"2023-04-19","valid_to":"2027-05-01","rate_status":"active","min_rate":4000,"max_rate":15000},{"rate_id":16113,"rate_name":"Triple Deluxe Room - OTA CP Plan","valid_from":"2023-04-19","valid_to":"2027-05-01","rate_status":"active","min_rate":4000,"max_rate":18000}]},{"room_id":65,"room_name":"Vinayaga Superior","base_occupancy":2,"max_occupancy":3,"room_status":"active","RatePlans":[{"rate_id":138,"rate_name":"Standard Double Room - OTA EP Plan","valid_from":"2017-01-07","valid_to":"2027-05-01","rate_status":"active","min_rate":1500,"max_rate":7500},{"rate_id":16100,"rate_name":"Standard Double Room - OTA CP Plan","valid_from":"2023-04-18","valid_to":"2027-05-01","rate_status":"active","min_rate":2500,"max_rate":7500}]}]}]}
[2026-06-05T00:31:12.795Z] RESAVENUE_API_TRACE | action=getInventory | endpoint=https://cm.resavenue.com/channelcontroller/PropertyDetails | context={"cityCode":"133179","checkInDate":"2026-07-20","checkOutDate":"2026-07-22","guestCount":2,"roomCount":1,"hotelCode":"20","hotelName":"Vinayaga by Poppys Rameswaram"} | payload={"OTA_HotelInventoryRQ":{"POS":{"Username":"crm.dvi@dvi.co.in","Password":"***REDACTED***","ID_Context":"REV"},"TimeStamp":"20261015T15:22:50","EchoToken":"inv-1780619472795","HotelCode":"20","Start":"2026-07-20","End":"2026-07-22","InvCodes":[66,7685,65]}}
