10	Yantra Resort by Spree Hotels	AX_DVI_HOTEL_10
95	CLOUDS VALLEY	AX_DVI_HOTEL_95
101	FOREST CANOPY	AX_DVI_HOTEL_101
153	MUNNAR QUEEN	AX_DVI_HOTEL_153
194	BIVERAH HOTEL &amp; SUITES	AX_DVI_HOTEL_194
233	SPICES LAP RESORT	AX_DVI_HOTEL_233
237	HAVELI BACKWATER RESORT	AX_DVI_HOTEL_237
238	Pagoda Resorts	AX_DVI_HOTEL_238
248	Uday Samudra Leisure Beach	AX_DVI_HOTEL_248
249	Uday Suites	AX_DVI_HOTEL_249
250	UDAY BACKWATER RESORT	AX_DVI_HOTEL_250
411	Palette Hill View Resort	AX_DVI_HOTEL_411
416	Lake Canopy	AX_DVI_HOTEL_416
417	CASA RIO	AX_DVI_HOTEL_417
433	Dutch Manor	AX_DVI_HOTEL_433
459	Backwater Ripples	AX_DVI_HOTEL_459
561	Fort Munnar	AX_DVI_HOTEL_561
24188	Falling Waters	AX_DVI_HOTEL_24188
44537	Test Hotel for STAAH	AX_DVI_HOTEL_44537
