scenario,runIndex,quoteId,dayNumber,routeSource,routeDestination,routeId,hotspotId,hotspotName,matchedBucket,priority,hotspotDistance,operatingHours,attemptedVisitStart,attemptedVisitEnd,finalDecision,exactRejectionReason,laterRetried,finallySelectedLater,duplicateAfterEarlierSelection
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,894,Live Hotspot 1775515744963,prefilter,1,,,,,REJECTED,Rejected: day-of-week mismatch,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,895,Live Retry Hotspot 1775515791348,prefilter,1,,,,,REJECTED,Rejected: day-of-week mismatch,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,896,PW Hotspot 1775516207450,prefilter,1,,,,,REJECTED,Rejected: day-of-week mismatch,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,897,Live Retry Hotspot 1775515791348,prefilter,1,,,,,REJECTED,Rejected: day-of-week mismatch,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,898,PW Hotspot 1775516310053,prefilter,1,,,,,REJECTED,Rejected: day-of-week mismatch,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,899,PW Hotspot 1775516882039,prefilter,1,,,,,REJECTED,Rejected: day-of-week mismatch,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,900,PW Timing Persist 1775727492729,prefilter,1,,,,,REJECTED,Rejected: day-of-week mismatch,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,4,"Chennai International Airport|Chennai Domestic Airport|Chennai Central|Chennai|Chennai Egmore Station|Chennai Koyembedu|ECR Beach, Chennai, Tamil Nadu",unknown,1,8.424111337850508,05:30:00 - 20:00:00,05:30:00,06:30:00,SELECTED,,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,11,"Chennai International Airport|Chennai Domestic Airport|Chennai Central|Chennai Egmore Station|Chennai Koyembedu|ECR Beach, Chennai, Tamil Nadu",unknown,2,5.166136964452228,06:00:00 - 19:00:00,06:44:00,07:44:00,SELECTED,,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,5,"Chennai International Airport|Chennai Domestic Airport|Chennai Central|Chennai|Chennai Egmore Station|Chennai Koyembedu|ECR Beach, Chennai, Tamil Nadu",unknown,3,5.6663373243163555,00:00:00 - 23:59:59,07:46:00,08:46:00,SELECTED,,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,294,"Chennai International Airport|Chennai Domestic Airport|Chennai Central|Chennai Egmore Station|Chennai Koyembedu|ECR Beach, Chennai, Tamil Nadu",unknown,4,6.8009698313592,10:00:00 - 17:30:00,10:00:00,10:45:00,SELECTED,,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,6,"Chennai International Airport|Chennai Domestic Airport|Chennai Central|Chennai Egmore Station|Chennai Koyembedu|ECR Beach, Chennai, Tamil Nadu",unknown,5,2.5433716601170495,09:00:00 - 17:00:00,11:10:00,12:10:00,SELECTED,,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,7,"Chennai International Airport|Chennai Domestic Airport|Chennai Central|Chennai Egmore Station|Chennai Koyembedu|ECR Beach, Chennai, Tamil Nadu",unknown,6,2.9662055609925604,09:30:00 - 17:00:00,12:29:00,13:29:00,SELECTED,,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,10,"Chennai International Airport|Chennai Domestic Airport|Chennai Central|Chennai Egmore Station|Chennai Koyembedu|ECR Beach, Chennai, Tamil Nadu",unknown,6,14.826249483758948,09:00:00 - 17:30:00,13:47:00,15:47:00,SELECTED,,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,8,"Chennai International Airport|Chennai Domestic Airport|Chennai Central|Chennai Egmore Station|Chennai Koyembedu|ECR Beach, Chennai, Tamil Nadu",unknown,7,8.537360979268696,06:00:00 - 20:00:00,16:23:00,17:23:00,SELECTED,,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,292,"Chennai International Airport|Chennai Domestic Airport|Chennai Central|Chennai Egmore Station|Chennai Koyembedu|ECR Beach, Chennai, Tamil Nadu",unknown,18,15.015475039922718,09:00:00 - 17:30:00,18:00:00,20:00:00,REJECTED,Rejected: closed at visit time,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,299,"Chennai International Airport|Chennai Domestic Airport|Chennai Central|Chennai Egmore Station|Chennai Koyembedu|ECR Beach, Chennai, Tamil Nadu",unknown,0,3.215018414002195,09:00:00 - 17:00:00,17:51:00,19:51:00,REJECTED,Rejected: closed at visit time,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,303,"Chennai International Airport|Chennai Domestic Airport|Chennai Central|Chennai Egmore Station|Chennai Koyembedu|ECR Beach, Chennai, Tamil Nadu",unknown,0,3.9836591931848835,06:00:00 - 00:00:00,17:45:00,23:45:00,REJECTED,Rejected: closed at visit time,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,300,"Chennai International Airport|Chennai Domestic Airport|Chennai Central|Chennai Egmore Station|Chennai Koyembedu|ECR Beach, Chennai, Tamil Nadu",unknown,0,4.032131382200415,09:00:00 - 21:30:00,17:44:00,18:44:00,SELECTED,,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,9,"Chennai International Airport|Chennai Domestic Airport|Chennai Central|Chennai Egmore Station|Chennai Koyembedu|ECR Beach, Chennai, Tamil Nadu",unknown,0,5.4347344259991335,05:30:00 - 20:00:00,19:04:00,20:04:00,REJECTED,Rejected: closed at visit time,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,12,"Chennai International Airport|Chennai Domestic Airport|Chennai Central|Chennai Egmore Station|Chennai Koyembedu|ECR Beach, Chennai, Tamil Nadu",unknown,0,6.048137020306321,10:00:00 - 19:00:00,18:54:00,19:54:00,REJECTED,Rejected: closed at visit time,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,296,"Chennai International Airport|Chennai Domestic Airport|Chennai Central|Chennai Egmore Station|Chennai Koyembedu|ECR Beach, Chennai, Tamil Nadu",unknown,0,9.211462432720763,07:00:00 - 18:00:00,19:02:00,21:02:00,REJECTED,Rejected: closed at visit time,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,804,"Chennai International Airport|Chennai Domestic Airport|Chennai Central|Chennai|Chennai Egmore Station|Chennai Koyembedu|ECR Beach, Chennai, Tamil Nadu|Chennai Port",unknown,0,9.354368817507947,17:00:00 - 22:00:00,19:21:00,21:21:00,SELECTED,,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,746,"Chennai International Airport|Chennai Domestic Airport|Chennai Central|Chennai|Chennai Egmore Station|Chennai Koyembedu|ECR Beach, Chennai, Tamil Nadu|Chennai Port",unknown,0,10.58489412354648,05:00:00 - 21:00:00,21:36:00,22:36:00,REJECTED,Rejected: closed at visit time,false,false,false
TN-Coast-Chennai-Mahabalipuram-Pondicherry,1,DVI202604198,1,Chennai,Mahabalipuram,1042,297,"Chennai International Airport|Chennai Domestic Airport|Chennai Central|Chennai Egmore Station|Chennai Koyembedu|ECR Beach, Chennai, Tamil Nadu",unknown,0,12.82221051600408,10:00:00 - 17:45:00,21:42:00,23:12:00,REJECTED,Rejected: closed at visit time,false,false,false
